playerID,nameFirst,nameLast,nameGiven,weight,height,bats,throws
altenje01,Jesse,Altenburg,Jesse Howard,158,69,L,R
altizda01,Dave,Altizer,David Tilden,160,70,L,R
altmage01,George,Altman,George Lee,200,76,L,R
altobjo01,Joe,Altobelli,Joseph Salvatore,185,72,L,L
altroni01,Nick,Altrock,Nicholas,197,70,B,L
altuvjo01,Jose,Altuve,Jose Carlos,175,65,R,R
alusige01,George,Alusik,George Joseph,175,75,R,R
alvarab01,Abe,Alvarez,Abraham,190,74,L,L
alvarcl01,Clemente,Alvarez,Clemente Rafael,180,71,R,R
alvarga01,Gabe,Alvarez,Gabriel de Jesus,185,73,R,R
alvarhe01,Henderson,Alvarez,Henderson Javier,210,72,R,R
alvarjo01,Jose,Alvarez,Jose Lino,170,70,R,R
alvarjo02,Jose,Alvarez,Jose Ricardo,180,71,L,L
alvarju01,Juan,Alvarez,Juan M.,180,73,L,L
alvarlu01,Luis,Alvarado,Luis Cesar,162,69,R,R
alvaror01,Orlando,Alvarez,Jesus Manuel Orlando,165,72,R,R
alvaros01,Ossie,Alvarez,Oswaldo,165,70,R,R
alvarpe01,Pedro,Alvarez,Pedro Manuel,235,75,L,R
alvarro01,Rogelio,Alvarez,Rogelio,183,71,R,R
alvarta01,Tavo,Alvarez,Cesar Octavio,245,75,R,R
alvarto01,Tony,Alvarez,Antonio Enrique,200,73,R,R
alvarvi01,Victor,Alvarez,Victor Aurelio,150,70,L,L
alvarwi01,Wilson,Alvarez,Wilson Eduardo,175,73,L,L
alvisma01,Max,Alvis,Roy Maxwell,185,71,R,R
alvorbi01,Billy,Alvord,William Crawford,187,70,,
alyeabr01,Brant,Alyea,Garrabrant Ryerson,215,75,R,R
amalfjo01,Joey,Amalfitano,John Joseph,175,71,R,R
amarari01,Rich,Amaral,Richard Louis,175,72,R,R
amarial01,Alexi,Amarista,Alexi Jose,150,68,L,R
amaroru01,Ruben,Amaro,Ruben,170,71,R,R
amaroru02,Ruben,Amaro,Ruben,170,70,B,R
amblewa01,Wayne,Ambler,Wayne Harper,165,68,R,R
ambrech01,Chip,Ambres,Raymond Payne,190,73,R,R
ambrihe01,Hector,Ambriz,Hector,235,74,L,R
amelued01,Ed,Amelung,Edward Allen,180,71,L,L
amesre01,Red,Ames,Leon Kessling,185,70,B,R
amesst01,Steve,Ames,Steven C.,205,73,R,R
amezaal01,Alfredo,Amezaga,Alfredo,165,71,B,R
amoledo01,Doc,Amole,Morris George,165,69,R,L
amorosa01,Sandy,Amoros,Edmundo,170,67,L,L
amorvi01,Vicente,Amor,Vicente,182,75,R,R
anckewa01,Walter,Ancker,Walter,190,73,R,R
anderal01,Alf,Anderson,Alfred Walton,165,71,R,R
anderal02,Allan,Anderson,Allan Lee,178,71,L,L
anderan01,Andy,Anderson,Andy Holm,172,71,R,R
anderbi01,Bill,Anderson,William Edward,165,73,R,L
anderbo01,Bob,Anderson,Robert Carl,210,76,R,R
anderbr01,Brady,Anderson,Brady Kevin,170,73,L,L
anderbr02,Brian,Anderson,Brian James,190,73,L,L
anderbr03,Brian,Anderson,Brian Nikola,220,74,R,R
anderbr04,Brett,Anderson,Brett Franklin,235,76,L,L
anderbr05,Bryan,Anderson,Bryan Douglas,200,73,L,R
anderbu01,Bud,Anderson,Karl Adam,210,75,R,R
andercr01,Craig,Anderson,Norman Craig,205,74,R,R
anderda01,Dave,Anderson,David S.,,,,L
anderda02,Dave,Anderson,David Carter,185,74,R,R
anderdr01,Drew,Anderson,Drew Thomas,195,74,L,R
anderdw01,Dwain,Anderson,Dwain Cleaven,165,71,R,R
anderfe01,Ferrell,Anderson,Ferrell Jack,200,73,R,R
anderfr01,Fred,Anderson,John Frederick,180,74,R,R
anderga01,Garret,Anderson,Garret Joseph,190,75,L,L
anderge01,George,Anderson,George Jendrus,160,68,L,R
andergo01,Goat,Anderson,Edward John,,,L,R
anderha01,Hal,Anderson,Harold,160,71,R,R
anderha02,Harry,Anderson,Harry Walter,205,75,L,R
anderja01,Jason,Anderson,Jason Roger,188,72,L,R
anderji01,Jim,Anderson,James Lea,170,72,R,R
anderji02,Jimmy,Anderson,James Drew,195,73,L,L
anderjo01,John,Anderson,John Joseph,180,74,B,R
anderjo02,John,Anderson,John Charles,190,73,R,R
anderjo03,Josh,Anderson,Joshua Aaron,195,74,L,R
anderke01,Kent,Anderson,Kent McKay,180,73,R,R
anderla01,Larry,Anderson,Lawrence Dennis,190,75,R,R
anderla02,Larry,Andersen,Larry Eugene,200,75,R,R
anderla03,Lars,Anderson,Lars Eric,215,76,L,L
anderma01,Matt,Anderson,Matthew Jason,200,76,R,R
anderma02,Marlon,Anderson,Marlon Ordell,190,70,L,R
andermi01,Mike,Anderson,Michael Allen,200,74,R,R
andermi02,Mike,Anderson,Michael James,200,75,R,R
anderre01,Red,Anderson,Arnold Revola,210,75,R,R
anderri01,Rick,Anderson,Richard Lee,210,74,R,R
anderri02,Rick,Anderson,Richard Arlen,175,72,R,R
andersc01,Scott,Anderson,Scott Richard,190,78,R,R
andersp01,Sparky,Anderson,George Lee,170,69,R,R
anderva01,Varney,Anderson,Warner Samuel,165,70,R,R
anderwa01,Walter,Anderson,Walter Carl,160,74,L,L
anderwi01,Wingo,Anderson,Wingo Charlie,150,70,L,L
andinro01,Robert,Andino,Robert Lazaro,195,72,R,R
andrast01,Steve,Andrade,Stephen Michael,220,73,R,R
andrecl01,Clayton,Andrews,Clayton John,175,72,R,L
andreed01,Ed,Andrews,George Edward,160,68,R,R
andreel01,Elbert,Andrews,Elbert DeVore,175,72,L,R
andreer01,Ernie,Andres,Ernest Henry,200,73,R,R
andrefr01,Fred,Andrews,Fred,163,68,R,R
andrehu01,Hub,Andrews,Hubert,170,72,R,R
andreiv01,Ivy,Andrews,Ivy Paul,200,73,R,R
andreji01,Jim,Andrews,James Pratt,,,,
andrejo01,John,Andre,John Edward,200,76,L,R
andrejo02,John,Andrews,John Richard,175,70,L,L
andreki01,Kim,Andrew,Kim Darrell,160,70,R,R
andremi01,Mike,Andrews,Michael Jay,195,75,R,R
andrena01,Nate,Andrews,Nathan Hardy,195,72,R,R
andrero01,Rob,Andrews,Robert Patrick,185,72,R,R
andresh01,Shane,Andrews,Darrell Shane,215,73,R,R
andrest01,Stan,Andrews,Stanley Joseph,178,71,R,R
andrewa01,Wally,Andrews,William Walter,170,75,R,R
andrubi01,Bill,Andrus,William Morgan,185,72,R,R
andruel01,Elvis,Andrus,Elvis Augusto,200,72,R,R
andrufr01,Fred,Andrus,Frederick Hotham,185,74,R,R
andruwi01,Wyman,Andrus,William Wiman,155,66,,
andujjo01,Joaquin,Andujar,Joaquin,170,72,B,R
andujlu01,Luis,Andujar,Luis,175,74,R,R
angelno01,Norm,Angelini,Norman Stanley,175,71,L,L
anglema01,Matt,Angle,Matthew Ryan,180,70,L,R
angleto01,Tom,Angley,Thomas Samuel,190,68,L,R
ankenpa01,Pat,Ankenman,Frederick Norman,125,64,R,R
ankieri01,Rick,Ankiel,Richard Alexander,210,73,L,L
annisbi01,Bill,Annis,William Perley,150,67,R,
ansonca01,Cap,Anson,Adrian Constantine,227,72,R,R
anthoer01,Eric,Anthony,Eric Todd,195,74,L,L
antoljo01,Joe,Antolick,Joseph,185,72,R,R
antonbi01,Bill,Antonello,William James,185,71,R,R
antonjo01,John,Antonelli,John Lawrence,165,70,R,R
antonjo02,Johnny,Antonelli,John August,185,73,L,L
antonma01,Matt,Antonelli,Matthew Antonio,195,73,R,R
aokino01,Norichika,Aoki,Norichika,175,69,L,R
aparilu01,Luis,Aparicio,Luis Ernesto,160,69,R,R
apodabo01,Bob,Apodaca,Robert John,170,71,R,R
apontlu01,Luis,Aponte,Luis Eduardo,185,72,R,R
appieke01,Kevin,Appier,Robert Kevin,180,74,R,R
appleed01,Ed,Appleton,Edward Samuel,173,72,R,R
applefr01,Fred,Applegate,Frederick Romaine,180,74,R,R
applepe01,Pete,Appleton,Peter William,180,71,R,R
applilu01,Luke,Appling,Lucius Benjamin,183,70,R,R
aquingr01,Greg,Aquino,Gregori Emilio,190,73,R,R
aquinlu01,Luis,Aquino,Luis Antonio,155,72,R,R
aragoan01,Angel,Aragon,Angel,150,65,R,R
aragoja01,Jack,Aragon,Angel Valdes,176,70,R,R
archdma01,Maurice,Archdeacon,Maurice John,153,68,L,L
archech01,Chris,Archer,Christopher Alan,200,75,R,R
archefr01,Fred,Archer,Frederick Marvin,193,72,L,L
archeji01,Jimmy,Archer,James Patrick,168,70,R,R
archeji02,Jim,Archer,James William,190,72,R,L
archige01,George,Archie,George Albert,170,72,R,R
arciajo01,Jose,Arcia,Jose Raimundo,170,75,R,R
arciaos01,Oswaldo,Arcia,Oswaldo Celestino,220,72,L,R
ardelda01,Dan,Ardell,Daniel Miers,190,74,L,L
ardizru01,Rugger,Ardizoia,Rinaldo Joseph,180,71,R,R
ardnejo01,Joe,Ardner,Joseph A.,160,,R,R
ardoida01,Danny,Ardoin,Daniel Wayne,205,72,R,R
arellfr01,Frank,Arellanes,Frank Julian,180,72,R,R
arenano01,Nolan,Arenado,Nolan James,205,73,R,R
arencjp01,J. P.,Arencibia,Jonathan Paul,200,72,R,R
arftha01,Hank,Arft,Henry Irven,190,70,L,L
ariasal01,Alex,Arias,Alejandro,185,75,R,R
ariasal02,Alberto,Arias,Alberto A.,155,71,R,R
ariasge01,George,Arias,George Alberto,190,71,R,R
ariasjo01,Joaquin,Arias,Joaquin,160,73,R,R
ariasru01,Rudy,Arias,Rodolfo,165,70,L,L
arletbu01,Buzz,Arlett,Russell Loris,225,75,B,R
arlicdo01,Don,Arlich,Donald Louis,185,74,L,L
arlinst01,Steve,Arlin,Stephen Ralph,195,75,R,R
armasma01,Marcos,Armas,Marcos Rafael,190,77,R,R
armasto01,Tony,Armas,Antonio Rafael,182,71,R,R
armasto02,Tony,Armas,Antonio Jose,205,76,R,R
armbrch01,Charlie,Armbruster,Charles Anthony,180,69,R,R
armbred01,Ed,Armbrister,Edison Rosanda,160,71,R,R
armbrha01,Harry,Armbruster,Harry Gregory,190,70,L,L
armbror01,Orville,Armbrust,Orville Martin,195,70,R,R
armoubi99,Bill,Armour,William Reginald,,,,
armstbo01,Robert,Armstrong,Robert,160,74,,
armstge01,George,Armstrong,Noble George,190,70,R,R
armstho01,Howard,Armstrong,Howard Elmer,165,69,R,R
armstja01,Jack,Armstrong,Jack William,220,77,R,R
armstmi01,Mike,Armstrong,Michael Dennis,193,75,R,R
arndtha01,Harry,Arndt,Harry John,165,,R,R
arndtla01,Larry,Arndt,Larry Wayne,195,73,R,R
arnolbi01,Billy,Arnold,Willis S.,,,,
arnolch01,Chris,Arnold,Christopher Paul,160,70,R,R
arnolja01,Jamie,Arnold,James Lee,190,74,R,R
arnolsc01,Scott,Arnold,Scott Gentry,210,74,R,R
arnolto01,Tony,Arnold,Tony Dale,170,71,R,R
arnovmo01,Morrie,Arnovich,Morris,168,70,R,R
arnsbbr01,Brad,Arnsberg,Bradley James,205,76,R,R
arntzor01,Orie,Arntzen,Orie Edgar,200,73,R,R
arochre01,Rene,Arocha,Rene,180,72,R,R
arredjo01,Jose,Arredondo,Jose Juan,190,72,R,R
arrieja01,Jake,Arrieta,Jacob Joseph,225,76,R,R
arrigge01,Gerry,Arrigo,Gerald William,185,73,L,L
arrojro01,Rolando,Arrojo,Luis Rolando,215,76,R,R
arroybr01,Bronson,Arroyo,Bronson Anthony,195,76,R,R
arroyfe01,Fernando,Arroyo,Fernando,180,74,R,R
arroylu01,Luis,Arroyo,Luis Enrique,178,68,L,L
arroyru01,Rudy,Arroyo,Rudolph,195,74,L,L
arundha01,Harry,Arundel,Harry,145,66,,R
arundtu01,Tug,Arundel,John Thomas,175,70,,R
asadora01,Randy,Asadoor,Randall Carl,185,73,R,R
asbelji01,Jim,Asbell,James Marion,195,72,R,R
asbjoca01,Casper,Asbjornson,Robert Anthony,196,73,R,R
ascanjo01,Jose,Ascanio,Jose Eleazar,195,71,R,R
ascheco01,Cody,Asche,Cody James,180,73,L,R
asencmi01,Miguel,Asencio,Miguel,190,74,R,R
ashburi01,Richie,Ashburn,Don Richard,170,70,L,R
ashbyal01,Alan,Ashby,Alan Dean,185,74,B,R
ashbyan01,Andy,Ashby,Andrew Jason,180,73,R,R
ashfotu01,Tucker,Ashford,Thomas Steven,195,73,R,R
ashke01,Ken,Ash,Kenneth Lowther,165,71,R,R
ashlebi01,Billy,Ashley,Billy Manual,220,79,R,R
asmusto01,Tom,Asmussen,Thomas William,,71,,R
asprobo01,Bob,Aspromonte,Robert Thomas,170,74,R,R
asproke01,Ken,Aspromonte,Kenneth Joseph,180,72,R,R
asselbr01,Brian,Asselstine,Brian Hanly,175,73,L,R
assenpa01,Paul,Assenmacher,Paul Andre,195,75,L,L
astacez01,Ezequiel,Astacio,Ezequiel F.,200,75,R,R
astacpe01,Pedro,Astacio,Pedro Julio,174,74,R,R
astrojo01,Joe,Astroth,Joseph Henry,187,69,R,R
atchisc01,Scott,Atchison,Scott Barham,200,74,R,R
